,,WEAPON,,,,,,,,,,,,,,,,,,,,ARMOR,,,,
SocketIndex,Description,SHORT_SWORD,SWORD,LONG_SWORD,GREAT_SWORD,SPEAR,POLEARM,MACE,GREAT_MACE,AX,GREAT_AX,BOW,CROSS_BOW,STAFF,WAND,SHIELD,TWIN_SWORD,BLOODWHIP,GAUNTLET,GUARDARM,ALOKEN_SPEAR,HELMET,COAT,PANTS,BOOTS,GLOVES
6301,Fortified Part: Weapons/Armors,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6302,Fortified Part: Weapons/Armors,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6303,Fortified Part: Weapons/Armors,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6304,Fortified Part: Weapons/Armors,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6305,Fortified Part: Weapons/Armors,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6306,Fortified Part: Weapons/Armors,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6307,Fortified Part: Weapons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
6308,Fortified Part: Weapons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
6309,Fortified Part: Weapons,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
6310,Fortified Part: Weapons,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
6311,Fortified Part: Armors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
6312,Fortified Part: Armors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
6313,Fortified Part: Weapons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
6314,Fortified Part: Armors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
6315,Fortified Part: Weapons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
6316,Fortified Part: Armors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
6317,Fortified Part: Weapons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
6318,Fortified Part: Armors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
6319,Fortified Part: Weapons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
6320,Fortified Part: Armors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
6321,Fortified Part: Weapons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
6322,Fortified Part: Armors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1
6325,Fortified Part: Weapons,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
